"placeOverall1","fullcountyname"
"Loudoun, VA","Loudoun County, VA"
"Falls Church City, VA","Falls Church City, VA"
"Fairfax City, VA","Fairfax City, VA"
"Washington, DC","Washington, DC"
"Denver, CO","Denver County, CO"
"San Mateo, CA","San Mateo County, CA"
"Santa Clara, CA","Santa Clara County, CA"
"King, WA","King County, WA"
"Collin, TX","Collin County, TX"
"San Francisco, CA","San Francisco County, CA"
"Fairfax, VA","Fairfax County, VA"
"Alexandria City, VA","Alexandria City, VA"
"New York, NY","New York County, NY"
"Salt Lake, UT","Salt Lake County, UT"
"Du Page, IL","Du Page County, IL"
"Alameda, CA","Alameda County, CA"
"Orange, CA","Orange County, CA"
"Denton, TX","Denton County, TX"
"Travis, TX","Travis County, TX"
"Arlington, VA","Arlington County, VA"
"Contra Costa, CA","Contra Costa County, CA"
"Snohomish, WA","Snohomish County, WA"
"Fulton, GA","Fulton County, GA"
"Mecklenburg, NC","Mecklenburg County, NC"
"San Diego, CA","San Diego County, CA"
"Fort Bend, TX","Fort Bend County, TX"
"Norfolk, MA","Norfolk County, MA"
"Wake, NC","Wake County, NC"
"Ventura, CA","Ventura County, CA"
"Suffolk, MA","Suffolk County, MA"
"El Paso, CO","El Paso County, CO"
"Montgomery, MD","Montgomery County, MD"
"Multnomah, OR","Multnomah County, OR"
"Pierce, WA","Pierce County, WA"
"Los Angeles, CA","Los Angeles County, CA"
"Will, IL","Will County, IL"
"Lake, IL","Lake County, IL"
"Hudson, NJ","Hudson County, NJ"
"Middlesex, MA","Middlesex County, MA"
"Maricopa, AZ","Maricopa County, AZ"
"Honolulu, HI","Honolulu County, HI"
"Montgomery, PA","Montgomery County, PA"
"Davidson, TN","Davidson County, TN"
"Bergen, NJ","Bergen County, NJ"
"Clark, NV","Clark County, NV"
"Fairfield, CT","Fairfield County, CT"
"San Joaquin, CA","San Joaquin County, CA"
"Tarrant, TX","Tarrant County, TX"
"Hennepin, MN","Hennepin County, MN"
"Cobb, GA","Cobb County, GA"
"Riverside, CA","Riverside County, CA"
"Cook, IL","Cook County, IL"
"Gwinnett, GA","Gwinnett County, GA"
"Dallas, TX","Dallas County, TX"
"Westchester, NY","Westchester County, NY"
"San Bernardino, CA","San Bernardino County, CA"
"Essex, MA","Essex County, MA"
"St Louis, MO","St Louis County, MO"
"Middlesex, NJ","Middlesex County, NJ"
"Sacramento, CA","Sacramento County, CA"
"Essex, NJ","Essex County, NJ"
"Nassau, NY","Nassau County, NY"
"Harris, TX","Harris County, TX"
"Prince Georges, MD","Prince George's County, MD"
"Marion, IN","Marion County, IN"
"Orange, FL","Orange County, FL"
"Bexar, TX","Bexar County, TX"
"Franklin, OH","Franklin County, OH"
"Hillsborough, FL","Hillsborough County, FL"
"Jackson, MO","Jackson County, MO"
"Oakland, MI","Oakland County, MI"
"Fresno, CA","Fresno County, CA"
"Palm Beach, FL","Palm Beach County, FL"
"Oklahoma, OK","Oklahoma County, OK"
"Broward, FL","Broward County, FL"
"Jefferson, KY","Jefferson County, KY"
"De Kalb, GA","De Kalb County, GA"
"Milwaukee, WI","Milwaukee County, WI"
"Bernalillo, NM","Bernalillo County, NM"
"Suffolk, NY","Suffolk County, NY"
"Worcester, MA","Worcester County, MA"
"Kern, CA","Kern County, CA"
"Baltimore, MD","Baltimore County, MD"
"Lee, FL","Lee County, FL"
"Miami-Dade, FL","Miami-Dade County, FL"
"Hamilton, OH","Hamilton County, OH"
"Shelby, TN","Shelby County, TN"
"Philadelphia, PA","Philadelphia County, PA"
"Duval, FL","Duval County, FL"
"Kings, NY","Kings County, NY"
"Cuyahoga, OH","Cuyahoga County, OH"
"Pinellas, FL","Pinellas County, FL"
"El Paso, TX","El Paso County, TX"
"Pima, AZ","Pima County, AZ"
"Polk, FL","Polk County, FL"
"Hartford, CT","Hartford County, CT"
"Queens, NY","Queens County, NY"
"Macomb, MI","Macomb County, MI"
"New Haven, CT","New Haven County, CT"
"Hidalgo, TX","Hidalgo County, TX"
"Wayne, MI","Wayne County, MI"
"Allegheny, PA","Allegheny County, PA"
"Monroe, NY","Monroe County, NY"
"Bronx, NY","Bronx County, NY"
"Erie, NY","Erie County, NY"
